,NVDA US Equity,AAPL US Equity
,Last_Price,Last_Price
2023-09-01,48.509,189.46
2023-09-05,48.548,189.7
2023-09-06,47.061,182.91
2023-09-07,46.241,177.56
2023-09-08,45.572,178.18
2023-09-11,45.178,179.36
2023-09-12,44.87,176.3
2023-09-13,45.485,174.21
2023-09-14,45.581,175.74
2023-09-15,43.9,175.01
2023-09-18,43.966,177.97
2023-09-19,43.52,179.07
2023-09-20,42.239,175.49
